Código;;;Nome;;;Fornecedor;;;;Localidade;Conta;;Nº Documento;;Dependência;;;;Dt. Aquisição;;Vl. Aquisição;Vl. Deprec.;;;;;Vl. Atual;;;;Status;
22-0747 / 000040;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000041;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000042;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000043;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000044;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000045;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000046;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000047;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000048;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000049;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000050;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000051;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000052;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000053;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000054;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000055;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000056;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000057;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000058;;;1 - BANCO DE MADEIRA  /  GENUFLEXÓRIO BANCO MADEIRA 2.60M;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000060;;;21 - ÓRGÃOS E INSTRUMENTOS ORGAO DUALKEY DK-50 C/ BANQUETA;;;NC;;;;BR 22-0747;1102;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000062;;;59 - INVERSOR (NO-BREAK) / ESTABILIZADOR / CARREGADOR SISTEMA ILUMINAÇÃO DE EMERGÊNCIA COM 02 BLOCOS AUTÔNOMOS.;;;NC;;;;BR 22-0747;1106;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000063;;;50 - TERRENO TER. JAMBEIRO CENTRAL;;;NC;;;;BR 22-0747;1108;;0;;TEMPLO;;;;22/08/1967;;1,00;0,00;;;;;1,00;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000064;;;56.001 - EXTINTOR ;;;L F RIBEIRO EXTINTORES( AEROTEX);;;;BR 22-0747;1101;;1106;;SALAO DE CULTO;;;;16/09/2021;;164,35;73,98;;;;;90,37;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000065;;;56.001 - EXTINTOR ;;;L F RIBEIRO EXTINTORES( AEROTEX);;;;BR 22-0747;1101;;1106;;SALAO DE CULTO;;;;16/09/2021;;164,35;73,98;;;;;90,37;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000066;;;1.003 - BANCO DE MADEIRA ;;;ADM - SÃO JOSÉ DOS CAMPOS - SP;;;;BR 22-0747;1101;;5;;SALAO DE CULTO;;;;26/07/2022;;1,00;0,44;;;;;0,56;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000067;;;13.002 - PURIFICADOR DE AGUA ;;;CASA DOS BEBEDOUROS LTDA.;;;;BR 22-0747;1101;;122247;;SANITARIO FEMININO;;;;05/05/2023;;999,00;283,22;;;;;715,78;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000068;;;13.002 - PURIFICADOR DE AGUA ;;;CASA DOS BEBEDOUROS LTDA.;;;;BR 22-0747;1101;;122247;;SANITARIO MASCULINO;;;;05/05/2023;;999,00;283,22;;;;;715,78;;;;Ativo;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000069;;;66 - CAMAS / BELICHES CADEIRA DE RODAS ORTOBRÁS;;;NC;;;;BR 22-0747;1101;;0;;QUARTO DE BATISMO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000070;;;21 - ÓRGÃOS E INSTRUMENTOS ORGAO TOKAI TR-70 C/ BANQUETA;;;NC;;;;BR 22-0747;1102;;0;;QUARTO DE BATISMO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000071;;;58 - ESTANTES MUSICAIS - PARTITURAS / QUADRO MUSICAL LOTE DE 20 ESTANTES MUSICAIS (EM USO);;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000072;;;26 - FORNO / FOGÃO / MICROONDAS FOGAO INDUSTRIAL 4 BOCAS;;;NC;;;;BR 22-0747;1101;;0;;CASA DO COMODATARIO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000073;;;8 - ARMÁRIO ARQUIVO/GAVETEIRO 4 GAVETAS AÇO;;;NC;;;;BR 22-0747;1101;;0;;SECRETARIA;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000074;;;8 - ARMÁRIO ARMARIO MDF 55CM X 65CM X 35CM;;;NC;;;;BR 22-0747;1101;;0;;TEMPLO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000075;;;14 - VENTILADOR VENTISILVA 50CM;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000076;;;14 - VENTILADOR VENTISILVA 50CM;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000077;;;14 - VENTILADOR VENTISILVA 50CM;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000078;;;14 - VENTILADOR VENTISILVA 50CM;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-0747 / 000079;;;14 - VENTILADOR VENTISILVA 50CM;;;NC;;;;BR 22-0747;1101;;0;;SALAO DE CULTO;;;;31/12/2004;;1,00;1,00;;;;;0,00;;;;Depreciado;
